"Call Tree","Avg. Objects / sec","Recorded Objects","Size","Level"
"<All threads>","73462","1395795","278183224","1"
"com.koltsa.PrimeCalculator.main(String[])","55359","1051821","268378720","2"
"PrimeCalculator.java:41 com.koltsa.PrimeCalculator.getPrimes(int)","55359","1051821","268378720","3"
"PrimeCalculator.java:75 <...> java.util.stream.ReferencePipeline.collect(Collector)","31581","600041","255686664","4"
"PrimeCalculator.java:91 <...> java.util.concurrent.AbstractExecutorService.submit(Runnable)","11052","209989","7128880","4"
"PrimeCalculator.java:78 com.koltsa.BigIntegerIterator.getContain()","6302","119752","1916064","4"
"PrimeCalculator.java:34 <...> java.lang.Integer.decode(String)","3151","59874","957984","5"
"PrimeCalculator.java:34 java.lang.Integer.valueOf(int)","3151","59874","957984","5"
"PrimeCalculator.java:34 <...> java.lang.ClassLoader.loadClass(String)","0.2","4","96","5"
"PrimeCalculator.java:91 <...> java.lang.invoke.LambdaForm$MH.666641942.linkToTargetMethod(Object, Object, Object, Object, Object)","3157","60000","1920000","4"
"<1 call> LambdaForm$DMH com.koltsa.PrimeCalculator$$Lambda$11.get$Lambda(List, Integer, List, CountDownLatch)","3157","60000","1920000","5"
"PrimeCalculator.java:78 <...> java.util.Collections$SynchronizedCollection.add(Object)","3157","60000","1440000","4"
"PrimeCalculator.java:75 <...> java.util.stream.Collectors.toList()","59","1131","86352","4"
"PrimeCalculator.java:91 <...> java.lang.invoke.MethodHandleNatives.linkCallSite(Object, Object, Object, Object, Object, Object[])","17","341","27400","4"
"PrimeCalculator.java:91 <...> java.lang.invoke.MethodHandleNatives.linkMethodHandleConstant(Class, int, Class, String, Object)","13","256","17352","4"
"PrimeCalculator.java:67 <...> java.lang.ClassLoader.loadClass(String)","5","107","9360","4"
"PrimeCalculator.java:83 <...> java.util.concurrent.Executors.newFixedThreadPool(int)","3","65","60024","4"
"PrimeCalculator.java:75 <...> java.util.stream.Collectors.<clinit>()","2","39","14240","4"
"PrimeCalculator.java:91 <...> java.lang.invoke.MethodHandleNatives.findMethodHandleType(Class, Class[])","0.8","16","560","4"
"PrimeCalculator.java:91 <...> java.lang.ClassLoader.loadClass(String)","0.6","12","288","4"
"PrimeCalculator.java:75 <...> java.util.stream.ReferencePipeline.limit(long)","0.5","10","13992","4"
"PrimeCalculator.java:66 <...> java.lang.ClassLoader.loadClass(String)","0.4","8","192","4"
"PrimeCalculator.java:67 <...> java.util.stream.Stream.generate(Supplier)","0.4","8","3864","4"
"PrimeCalculator.java:75 <...> java.lang.ClassLoader.loadClass(String)","0.3","6","33032","4"
"PrimeCalculator.java:82 <...> java.lang.ClassLoader.loadClass(String)","0.3","6","1528","4"
"PrimeCalculator.java:83 <...> java.lang.ClassLoader.loadClass(String)","0.3","6","6240","4"
"PrimeCalculator.java:77 <...> java.lang.ClassLoader.loadClass(String)","0.2","4","96","4"
"PrimeCalculator.java:66 java.util.Collections.synchronizedList(List)","0.2","4","5016","4"
"PrimeCalculator.java:90 <...> java.util.Collections$SynchronizedCollection.iterator()","0.2","4","3752","4"
"PrimeCalculator.java:82 java.util.concurrent.CountDownLatch.<init>(int)","0.2","4","1560","4"
"PrimeCalculator.java:101 <...> java.util.concurrent.CountDownLatch.await()","0.1","2","64","4"
"PrimeCalculator.java:77 java.util.ArrayList.iterator()","< 0.1","1","32","4"
"PrimeCalculator.java:81 java.util.Collections.synchronizedList(List)","< 0.1","1","24","4"
"PrimeCalculator.java:66","< 0.1","1","32","4"
"PrimeCalculator.java:67","< 0.1","1","16","4"
"PrimeCalculator.java:81","< 0.1","1","32","4"
"PrimeCalculator.java:82","< 0.1","1","16","4"
"<...> java.lang.Thread.run()","17932","340716","9553392","2"
"<4 calls> Executors.java:511 com.koltsa.PrimeCalculator$$Lambda$11.run()","17815","338503","9478104","3"
"com.koltsa.PrimeCalculator.lambda$getPrimes$0(List, Integer, List, CountDownLatch)","17815","338503","9478104","4"
"PrimeCalculator.java:93 com.koltsa.PrimeCalculator.isPrime(List, Integer)","15054","286027","8218680","5"
"PrimeCalculator.java:111 <...> java.util.Collections$SynchronizedList.subList(int, int)","6146","116774","3269672","6"
"PrimeCalculator.java:111 <...> java.util.Collections$SynchronizedCollection.iterator()","6145","116772","3269616","6"
"PrimeCalculator.java:114","2762","52481","1679392","6"
"PrimeCalculator.java:95 <...> java.util.Collections$SynchronizedCollection.add(Object)","2761","52476","1259424","5"
"<...> sun.management.GarbageCollectorImpl.createGCNotification(long, String, String, String, GcInfo)","143","2723","176432","2"
"<...> com.sun.management.GcInfo.<init>(GcInfoBuilder, long, long, long, MemoryUsage[], MemoryUsage[], Object[])","23","439","62112","2"
"<...> java.lang.ref.Finalizer$FinalizerThread.run()","4","83","7704","2"
"<...> sun.management.GarbageCollectorImpl.getGcInfoBuilder()","0.6","13","4864","2"
