"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: maxPrimeNumber"
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation","sample",1,444,"113,334770","1,572786","ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.00","sample",1,1,"92,012544",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.50","sample",1,1,"112,656384",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.90","sample",1,1,"126,615552",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.95","sample",1,1,"131,268608",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.99","sample",1,1,"142,567014",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.999","sample",1,1,"157,810688",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.9999","sample",1,1,"157,810688",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p1.00","sample",1,1,"157,810688",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation","sample",1,135,"376,419366","19,238519","ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.00","sample",1,1,"270,008320",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.50","sample",1,1,"358,088704",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.90","sample",1,1,"479,513805",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.95","sample",1,1,"508,454502",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.99","sample",1,1,"572,354724",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.999","sample",1,1,"574,619648",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.9999","sample",1,1,"574,619648",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p1.00","sample",1,1,"574,619648",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation","sample",1,30,"1783,697681","78,269791","ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.00","sample",1,1,"1507,852288",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.50","sample",1,1,"1819,279360",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.90","sample",1,1,"1904,633446",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.95","sample",1,1,"1942,277325",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.99","sample",1,1,"1950,351360",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.999","sample",1,1,"1950,351360",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p0.9999","sample",1,1,"1950,351360",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runOriginalImplementation:runOriginalImplementation·p1.00","sample",1,1,"1950,351360",NaN,"ms/op",50000
