"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: maxPrimeNumber"
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark","sample",1,60616,"0,824600","0,007771","ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.00","sample",1,1,"0,514048",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.50","sample",1,1,"0,722944",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.90","sample",1,1,"1,079296",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.95","sample",1,1,"1,355776",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.99","sample",1,1,"2,158592",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.999","sample",1,1,"6,332244",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.9999","sample",1,1,"30,136107",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p1.00","sample",1,1,"38,404096",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark","sample",1,16425,"3,042103","0,057670","ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.00","sample",1,1,"2,158592",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.50","sample",1,1,"2,797568",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.90","sample",1,1,"3,305472",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.95","sample",1,1,"3,559424",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.99","sample",1,1,"4,939776",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.999","sample",1,1,"34,537472",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.9999","sample",1,1,"37,285724",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p1.00","sample",1,1,"38,338560",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark","sample",1,1637,"30,592781","0,360236","ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.00","sample",1,1,"26,050560",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.50","sample",1,1,"29,065216",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.90","sample",1,1,"35,258368",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.95","sample",1,1,"39,662387",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.99","sample",1,1,"48,600187",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.999","sample",1,1,"69,379817",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p0.9999","sample",1,1,"71,303168",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmark:runEnhancedBenchmark·p1.00","sample",1,1,"71,303168",NaN,"ms/op",50000
