"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: maxPrimeNumber"
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes","sample",1,1770831,"0,003569","0,000011","ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.00","sample",1,1,"0,002200",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.50","sample",1,1,"0,002600",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.90","sample",1,1,"0,006496",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.95","sample",1,1,"0,006800",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.99","sample",1,1,"0,010000",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.999","sample",1,1,"0,022976",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.9999","sample",1,1,"0,112768",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p1.00","sample",1,1,"1,171456",NaN,"ms/op",1000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes","sample",1,760175,"0,032901","0,000072","ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.00","sample",1,1,"0,021472",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.50","sample",1,1,"0,024384",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.90","sample",1,1,"0,061056",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.95","sample",1,1,"0,065152",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.99","sample",1,1,"0,082944",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.999","sample",1,1,"0,147712",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.9999","sample",1,1,"0,768000",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p1.00","sample",1,1,"1,386496",NaN,"ms/op",10000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes","sample",1,292350,"0,170923","0,000169","ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.00","sample",1,1,"0,151296",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.50","sample",1,1,"0,165376",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.90","sample",1,1,"0,186880",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.95","sample",1,1,"0,200960",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.99","sample",1,1,"0,242688",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.999","sample",1,1,"0,438272",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p0.9999","sample",1,1,"1,346140",NaN,"ms/op",50000
"benchmark.jmh.CalculatorBenchmark.runEnhancedBenchmarkSieveOfEratoshenes:runEnhancedBenchmarkSieveOfEratoshenes·p1.00","sample",1,1,"2,457600",NaN,"ms/op",50000
